supplier_code,supplier_name,tax_code,contact_name,phone,email,address,payment_terms
SUPN00103,Moviphar- CTy TNHH DP,,,02462912392,,Hà Nội,30
SUPN00102,Ninh TDv,,,,,TN,30
SUPN00101,Hoàng Đức,,,,,Hà Nội,30
SUPN00100,Dược Khoa,,,,,Hà Nội,30
SUPN00099,Hoài,,,0978522555,,TN,30
SUPN00098,Richer,,,,,"Quận Thanh Xuân, Hà Nội",30
SUPN00097,Merap,,,,,"Hưng Yên, VN",30
SUPN00096,Đội Quân,,,,,TN,30
SUPN00095,Hà Thanh,,,0963744567,,Quầy 441 Tầng 4 hapu,30
SUPN00094,Daco - Cty CP Tập đoàn DP Daco,,,0888996998,,"Quận TÂn Bình, TP HCM",30
SUPN00093,Oxy pharma,,,0975993889,,Hà Nội,30
SUPN00092,Duy Ly,,,0988797800,,Thái Nguyên,30
SUPN00091,yến,,,,,Thái Nguyên,30
SUPN00090,Novocare,,,,,Hà Nội,30
SUPN00089,Vịnh TDV,,,,,"Thái Nguyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00088,Huyền Tiên,,,,,Thái Nguyên,30
SUPN00087,Victory,,,,,HCM,30
SUPN00086,interphar,,,,,Hà Nội,30
SUPN00085,Thuý,,,0979093462,,Thái Nguyên,30
SUPN00084,Mỹ Phẩm,,,,,Thái Nguyên,30
SUPN00083,Cty Victory,,,,,Hà Nội,30
SUPN00082,CTy Dược Phẩm VPC 1,,,,,Hà Nội,30
SUPN00081,TH Pharma,,,,,Hà Nội,30
SUPN00080,Hoa Hà Nội,,,,,hà nội,30
SUPN00079,Hân Hân,,,,,HCM,30
SUPN00078,Kim Đô Liễu,,,,,Thái Nguyên,30
SUPN00077,Nacopha pharma,,,,,Thái Nguyên,30
SUPN00076,Tiến Hảo,,,,,Tn,30
SUPN00075,Hàng khuyến mại tự tích điểm,,,,,"sn 30, xuân hoà, thái nguyên",30
SUPN00074,Dược phẩm anpha,,,0162959506,,"Tân Tây Đô, Tân Lập, Đan Phượng, Hà Nội",30
SUPN00073,gigamed - cty TNHH dp,,,01800545446,,Hà Nội,30
SUPN00072,An Nhi - Cty TNHH Dược phẩm,,,,,"hà nội, VN",30
SUPN00071,Việt Sinh - Cty CPD Quốc tế Sinh,,,02466873535,,Hoàng Mai Hà Nội,30
SUPN00070,công ty Shabi group,,,,,"Lô  16-17-18 đường Nguyễn Như Quế, TDP Vân Quan, phường Đa Phúc, quận Dương Kính, tp Hải Phòng",30
SUPN00069,Dược Đức Phát,,,,,"số 27 cầu Treo, thị trấn Yên Mỹ, Huyện Yên Mỹ, tỉnh Hưng Yên",30
SUPN00068,Hàng lẻ,,,,,hà nội,30
SUPN00067,trung ương 1,,,,,"160 Tôn Đức Thắng, Đống Đa Hà Nội",30
SUPN00066,ampharco U.S.A,,,,,"KCN Nhơn Trạch 3, Thị trấn Hiệp Phước, huyện Nhơn Trạch, Đồng Nai",30
SUPN00065,Fobic,,,,,"Lô TT09, Nam Đô Complex, 609 Trung Định, Thịnh Liệt, Hoàng Mai, Hà Nội",30
SUPN00064,Nhất Nhất,,,,,"Cụm công nghiệp Liên Hưng, ấp Bình Tiến2, xã Đức Hoà Hạ, Đức Hoà, Long An",30
SUPN00063,Yosana,,,,,"Hạp Linh, tp Bắc Ninh",30
SUPN00062,Trung ương 3,,,,,"số 26 Bùi Quốc Khái, phường Hoàng Liệt, quận Hoàng Mai, Hà Nội",30
SUPN00061,Boston,,,,,"số 43, đường số 8, KCN VSIP, phường Bình Hoà, TP Thuận An, Bình Dương",30
SUPN00060,Duyên Cương,,,,,Thái Nguyên,30
SUPN00059,cty Hưng Nguyên,,,0911321010,,"số 10 ngách 377/10 bát khối long biên Hà Nội, Quận Long Biên, Hà Nội",30
SUPN00058,Hadico,,,,,"Hà Nội, Quận Ba Đình, Hà Nội",30
SUPN00057,Thiên Lộc Phát,,,,,"sn 124, Lô A3, Khu ĐTM Đại Kim, p. Định Công, Q.Hoàng Mai, HN",30
SUPN00056,Bình hút sữa-Bàn chải ion,,,,,thái nguyên,30
SUPN00055,Dược Đông Á,,,,,"Lô A2-CN3 Cụm Công nghiệp Từ Liêm, Phường Minh Khai, quận Bắc Từ Liêm, Hà Nội",30
SUPN00054,công ty TNHH DKSH Việt Nam,,,,,"Tầng 16, Tòa nhà Peakview Tower,36 Phố hoàng cầu, phường ô chợ dừa, quận đống đa, Hà Nội",30
SUPN00053,Glomed,,,,,"35 Đại Lộ Tự Do,KCN Việt Nam-Singapore, An Phú, Thuận An,Bình Dương",30
SUPN00052,Hạnh - trường Nam Hoà,,,,,"Thái Nguyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00051,Nhung hàng úc,,,,,"Hà Nội, Thị xã Sơn Tây, Hà Nội",30
SUPN00050,sohaco,,,,,"tp thái nguyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00049,Dược Tất Thành,,,,,thái nguyên,30
SUPN00048,Thuý béo - Xylitol,,,,,"Thái Nguyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00047,Dược Á Âu,,,,,"171 chùa Láng, Đống Đa, Hà Nội, Quận Đống Đa, Hà Nội",30
SUPN00046,Hàng Úc - Hà Nội,,,,,"Hà Nội, Quận Cầu Giấy, Hà Nội",30
SUPN00045,Cty CpC 1 Hà Nôi,,,,,"thường Tín, Hà Nội, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00044,Eurosol Ánh Dương,,,,,"TN, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00043,Khách trả không tìm hoá đơn,,,,,"TN, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00042,Sơn Nhung Brain,,,,,"Thái Nguyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00041,Hoa Linh,,,02437676986,,"Hà Nội, Quận Cầu Giấy, Hà Nội",30
SUPN00040,Dương - bạn Anh Khiêm,,,,,"Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00039,anphaco - rutin c- ODA,,,,,"Huyện Phú Bình, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00038,Thương Mại,,,0914960069,,"Tân Thịnh - TP Thái Nguyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00037,Dũng Huyền - Sao Thái Dương,,,0916143149,,"Ngõ 2, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00036,Ích Nhân,,,02437914041,,"Khu đô thị mới cầu giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",30
SUPN00035,Eco - Cty cpdp,,,02432321036,,"180 Trường Chinh, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",30
SUPN00034,Hàng Lẻ,,,0914960069,,"Tổ 26, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00033,Nguyệt TDV - Atusol,,,0981786498,,"TN, Phường Tân Thịnh, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00032,Phương TDV - Ích Phế Nhi,,,,,"Tổ 5, Phường Gia Sàng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00031,Thoại TDV,,,,,"TN, Phường Thịnh Đán, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00030,Tuệ Linh,,,02839797779,,"N05, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",30
SUPN00029,Dược Phẩm Meracine,,,02435148042,,"Khu đô thị Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",30
SUPN00028,Cty TNHH Dược Quốc Tế 102,,,0796358222,,"Tú pháp, Phường Thị Cầu, Thành phố Bắc Ninh, Bắc Ninh",30
SUPN00027,Hậu Thuỷ - Thuỷ Bàn Chải,,,0947180868,,"Tổ 24, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00026,Kẹo Dẻo - Chị Thuỷ,,,,,"Tổ 21, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00025,Nam Hà,,,02438562166,,"423 Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",30
SUPN00024,Doppel Herz,,,0437878408,,"HN, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",30
SUPN00023,Nam Panadol,,,,,"Chợ Quán Triều, Phường Quán Triều, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00022,Cty TNHH TM Và DP Sang HN,,,02463262468,,"Số 41 phùng hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",30
SUPN00021,Gia thuận,,,,,"Bắc Ninh, Phường Đáp Cầu, Thành phố Bắc Ninh, Bắc Ninh",30
SUPN00020,Anphaco - Glutin,,,,,"TN, Thị trấn Hương Sơn, Huyện Phú Bình, Thái Nguyên",30
SUPN00019,Keiko - Cty,,,02432222812,,"Khu đô thị Đại Kim, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",30
SUPN00018,Tín Phong,,,0243748175,,"Khu ĐT Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",30
SUPN00017,Vshine,,,02462690011,,"Ngõ 118, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",30
SUPN00016,Nguyên Thái Minh,,,0978476646,,"TN, Phường Trung Thành, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00015,GSV Việt Nam,,,0912388226,,"Phố Phượng, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",30
SUPN00014,Sharvin,,,,,"Phố Yên Duyên, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",30
SUPN00013,Nam Dược,,,0966497337,,"Đường Trương Công Giai, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",30
SUPN00012,Cty Linh Đạt,,,0943884684,,"Hoàng Ngân, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00011,Quảng - Muối Cồn Tâm Bình,,,,,"TN, Phường Phú Xá, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00010,Diện Bao Cao Su,,,,,"Tổ 2, Phường Gia Sàng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00009,Anh Hào Kozo,,,,,"TN, Phường Quang Trung, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00008,Traphaco,,,,,"Khu dân cư số 7, Phường Gia Sàng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00007,Cty Hậu Giang,,,0366841000,,"Phố Nguyễn thái Học, Phường Túc Duyên, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00006,Cty Letco,,,0967978086,,"Khu đô thị mới Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",30
SUPN00005,Hoàng Lan,,,0912700699,,"Hoàng Văn Thụ, Phường Hoàng Văn Thụ, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00004,Hàng Nhập Lẻ,,,,,"Gs, Phường Gia Sàng, Thành phố Thái Nguyên, Thái Nguyên",30
SUPN00003,Thành Thuỷ,,,0915052020,,Hà Nội,30
SUPN00002,Diện Gia Sàng,,,,,Gia Sàng,30
SUPN00001,Hà Nội,,,0914960069,,Hà Nội,30